category_id,buy_1201,buy_1202,buy_delta,contribution
965809,23.0,44.0,21.0,0.021806853582554516
1464116,68.0,89.0,21.0,0.021806853582554516
4918438,6.0,23.0,17.0,0.017653167185877467
1575622,20.0,36.0,16.0,0.016614745586708203
2297500,5.0,21.0,16.0,0.016614745586708203
3738615,12.0,26.0,14.0,0.014537902388369679
3002561,28.0,41.0,13.0,0.013499480789200415
2640118,30.0,43.0,13.0,0.013499480789200415
3065645,15.0,28.0,13.0,0.013499480789200415
846990,6.0,18.0,12.0,0.012461059190031152
4181361,14.0,24.0,10.0,0.010384215991692628
854059,0.0,10.0,10.0,0.010384215991692628
2939262,24.0,34.0,10.0,0.010384215991692628
2572604,0.0,9.0,9.0,0.009345794392523364
801221,16.0,25.0,9.0,0.009345794392523364
1051370,8.0,17.0,9.0,0.009345794392523364
4086613,1.0,10.0,9.0,0.009345794392523364
990723,0.0,9.0,9.0,0.009345794392523364
1379146,11.0,20.0,9.0,0.009345794392523364
4069500,3.0,12.0,9.0,0.009345794392523364
3371868,0.0,9.0,9.0,0.009345794392523364
405755,0.0,8.0,8.0,0.008307372793354102
3616520,0.0,8.0,8.0,0.008307372793354102
4672807,11.0,19.0,8.0,0.008307372793354102
901282,5.0,13.0,8.0,0.008307372793354102
2465336,20.0,28.0,8.0,0.008307372793354102
1689624,4.0,12.0,8.0,0.008307372793354102
1074254,2.0,10.0,8.0,0.008307372793354102
1851156,5.0,13.0,8.0,0.008307372793354102
3607361,22.0,29.0,7.0,0.007268951194184839
2581941,5.0,12.0,7.0,0.007268951194184839
2578647,10.0,17.0,7.0,0.007268951194184839
2885642,76.0,83.0,7.0,0.007268951194184839
2869260,0.0,7.0,7.0,0.007268951194184839
703487,1.0,8.0,7.0,0.007268951194184839
3664107,3.0,10.0,7.0,0.007268951194184839
4242717,2.0,9.0,7.0,0.007268951194184839
982926,60.0,67.0,7.0,0.007268951194184839
4789432,36.0,43.0,7.0,0.007268951194184839
4919077,7.0,13.0,6.0,0.006230529595015576
1297992,4.0,10.0,6.0,0.006230529595015576
1376358,1.0,7.0,6.0,0.006230529595015576
1265358,17.0,23.0,6.0,0.006230529595015576
245312,5.0,11.0,6.0,0.006230529595015576
181182,0.0,6.0,6.0,0.006230529595015576
2629787,2.0,8.0,6.0,0.006230529595015576
4763051,0.0,6.0,6.0,0.006230529595015576
383749,3.0,9.0,6.0,0.006230529595015576
4267003,0.0,6.0,6.0,0.006230529595015576
2033408,4.0,10.0,6.0,0.006230529595015576
4022701,5.0,11.0,6.0,0.006230529595015576
380289,2.0,7.0,5.0,0.005192107995846314
3800818,0.0,5.0,5.0,0.005192107995846314
866301,17.0,22.0,5.0,0.005192107995846314
3189162,2.0,7.0,5.0,0.005192107995846314
2228184,2.0,7.0,5.0,0.005192107995846314
3228699,1.0,6.0,5.0,0.005192107995846314
1198404,0.0,5.0,5.0,0.005192107995846314
2926020,8.0,13.0,5.0,0.005192107995846314
4159072,38.0,43.0,5.0,0.005192107995846314
2837163,1.0,6.0,5.0,0.005192107995846314
4217906,28.0,33.0,5.0,0.005192107995846314
1168596,0.0,5.0,5.0,0.005192107995846314
2735466,66.0,71.0,5.0,0.005192107995846314
2700588,0.0,5.0,5.0,0.005192107995846314
102272,2.0,7.0,5.0,0.005192107995846314
1471163,0.0,5.0,5.0,0.005192107995846314
2476560,9.0,14.0,5.0,0.005192107995846314
904454,4.0,9.0,5.0,0.005192107995846314
800581,16.0,21.0,5.0,0.005192107995846314
3530487,1.0,6.0,5.0,0.005192107995846314
85955,5.0,10.0,5.0,0.005192107995846314
1881956,2.0,7.0,5.0,0.005192107995846314
2042400,3.0,8.0,5.0,0.005192107995846314
542584,4.0,9.0,5.0,0.005192107995846314
796856,0.0,5.0,5.0,0.005192107995846314
1829804,0.0,5.0,5.0,0.005192107995846314
569703,0.0,5.0,5.0,0.005192107995846314
4537973,0.0,4.0,4.0,0.004153686396677051
634034,1.0,5.0,4.0,0.004153686396677051
128357,1.0,5.0,4.0,0.004153686396677051
1879194,35.0,39.0,4.0,0.004153686396677051
3283188,0.0,4.0,4.0,0.004153686396677051
767106,0.0,4.0,4.0,0.004153686396677051
4062559,1.0,5.0,4.0,0.004153686396677051
1936748,5.0,9.0,4.0,0.004153686396677051
1928278,2.0,6.0,4.0,0.004153686396677051
2145555,0.0,4.0,4.0,0.004153686396677051
3354186,3.0,7.0,4.0,0.004153686396677051
2982027,3.0,7.0,4.0,0.004153686396677051
4974254,1.0,5.0,4.0,0.004153686396677051
4148053,5.0,9.0,4.0,0.004153686396677051
1320293,33.0,37.0,4.0,0.004153686396677051
3916967,0.0,4.0,4.0,0.004153686396677051
