hour,buy_1201,buy_1202,buy_delta,contribution
21,258,385,127,0.13187954309449637
17,192,315,123,0.1277258566978193
16,225,330,105,0.10903426791277258
19,236,333,97,0.10072689511941849
20,265,339,74,0.07684319833852545
23,202,272,70,0.07268951194184839
14,274,338,64,0.06645898234683281
08,116,174,58,0.060228452751817235
12,229,282,53,0.055036344755970926
22,289,341,52,0.05399792315680166
00,102,143,41,0.04257528556593977
11,239,266,27,0.028037383177570093
09,191,215,24,0.024922118380062305
18,206,228,22,0.02284527518172378
13,239,260,21,0.021806853582554516
06,34,48,14,0.014537902388369679
10,287,299,12,0.012461059190031152
07,63,74,11,0.01142263759086189
02,23,30,7,0.007268951194184839
03,18,22,4,0.004153686396677051
04,12,15,3,0.003115264797507788
05,25,24,-1,-0.0010384215991692627
01,64,46,-18,-0.018691588785046728
15,328,301,-27,-0.028037383177570093
