category_id,buy_1201,buy_1202,buy_delta,contribution
965809,23.0,44.0,21.0,0.021807
1464116,68.0,89.0,21.0,0.021807
4918438,6.0,23.0,17.0,0.017653
1575622,20.0,36.0,16.0,0.016615
2297500,5.0,21.0,16.0,0.016615
3738615,12.0,26.0,14.0,0.014538
2640118,30.0,43.0,13.0,0.013499
3002561,28.0,41.0,13.0,0.013499
3065645,15.0,28.0,13.0,0.013499
846990,6.0,18.0,12.0,0.012461
854059,0.0,10.0,10.0,0.010384
2939262,24.0,34.0,10.0,0.010384
4181361,14.0,24.0,10.0,0.010384
801221,16.0,25.0,9.0,0.009346
990723,0.0,9.0,9.0,0.009346
1051370,8.0,17.0,9.0,0.009346
1379146,11.0,20.0,9.0,0.009346
2572604,0.0,9.0,9.0,0.009346
3371868,0.0,9.0,9.0,0.009346
4069500,3.0,12.0,9.0,0.009346
4086613,1.0,10.0,9.0,0.009346
405755,0.0,8.0,8.0,0.008307
901282,5.0,13.0,8.0,0.008307
1074254,2.0,10.0,8.0,0.008307
1689624,4.0,12.0,8.0,0.008307
1851156,5.0,13.0,8.0,0.008307
2465336,20.0,28.0,8.0,0.008307
3616520,0.0,8.0,8.0,0.008307
4672807,11.0,19.0,8.0,0.008307
703487,1.0,8.0,7.0,0.007269
982926,60.0,67.0,7.0,0.007269
2578647,10.0,17.0,7.0,0.007269
2581941,5.0,12.0,7.0,0.007269
2869260,0.0,7.0,7.0,0.007269
2885642,76.0,83.0,7.0,0.007269
3607361,22.0,29.0,7.0,0.007269
3664107,3.0,10.0,7.0,0.007269
4242717,2.0,9.0,7.0,0.007269
4789432,36.0,43.0,7.0,0.007269
181182,0.0,6.0,6.0,0.006231
245312,5.0,11.0,6.0,0.006231
383749,3.0,9.0,6.0,0.006231
1265358,17.0,23.0,6.0,0.006231
1297992,4.0,10.0,6.0,0.006231
1376358,1.0,7.0,6.0,0.006231
2033408,4.0,10.0,6.0,0.006231
2629787,2.0,8.0,6.0,0.006231
4022701,5.0,11.0,6.0,0.006231
4267003,0.0,6.0,6.0,0.006231
4763051,0.0,6.0,6.0,0.006231
4919077,7.0,13.0,6.0,0.006231
85955,5.0,10.0,5.0,0.005192
102272,2.0,7.0,5.0,0.005192
380289,2.0,7.0,5.0,0.005192
542584,4.0,9.0,5.0,0.005192
569703,0.0,5.0,5.0,0.005192
796856,0.0,5.0,5.0,0.005192
800581,16.0,21.0,5.0,0.005192
866301,17.0,22.0,5.0,0.005192
904454,4.0,9.0,5.0,0.005192
1168596,0.0,5.0,5.0,0.005192
1198404,0.0,5.0,5.0,0.005192
1471163,0.0,5.0,5.0,0.005192
1829804,0.0,5.0,5.0,0.005192
1881956,2.0,7.0,5.0,0.005192
2042400,3.0,8.0,5.0,0.005192
2228184,2.0,7.0,5.0,0.005192
2476560,9.0,14.0,5.0,0.005192
2700588,0.0,5.0,5.0,0.005192
2735466,66.0,71.0,5.0,0.005192
2837163,1.0,6.0,5.0,0.005192
2926020,8.0,13.0,5.0,0.005192
3189162,2.0,7.0,5.0,0.005192
3228699,1.0,6.0,5.0,0.005192
3530487,1.0,6.0,5.0,0.005192
3800818,0.0,5.0,5.0,0.005192
4159072,38.0,43.0,5.0,0.005192
4217906,28.0,33.0,5.0,0.005192
128357,1.0,5.0,4.0,0.004154
235534,7.0,11.0,4.0,0.004154
240303,0.0,4.0,4.0,0.004154
330316,2.0,6.0,4.0,0.004154
634034,1.0,5.0,4.0,0.004154
668498,0.0,4.0,4.0,0.004154
672001,2.0,6.0,4.0,0.004154
715319,1.0,5.0,4.0,0.004154
767106,0.0,4.0,4.0,0.004154
865039,2.0,6.0,4.0,0.004154
1023823,0.0,4.0,4.0,0.004154
1113817,0.0,4.0,4.0,0.004154
1320293,33.0,37.0,4.0,0.004154
1879194,35.0,39.0,4.0,0.004154
1928278,2.0,6.0,4.0,0.004154
1936748,5.0,9.0,4.0,0.004154
2145555,0.0,4.0,4.0,0.004154
2296439,5.0,9.0,4.0,0.004154
2812445,0.0,4.0,4.0,0.004154
2827444,2.0,6.0,4.0,0.004154
2878148,0.0,4.0,4.0,0.004154
2892802,0.0,4.0,4.0,0.004154
2982027,3.0,7.0,4.0,0.004154
3053420,0.0,4.0,4.0,0.004154
3108044,5.0,9.0,4.0,0.004154
3123187,0.0,4.0,4.0,0.004154
3283188,0.0,4.0,4.0,0.004154
3354186,3.0,7.0,4.0,0.004154
3632786,0.0,4.0,4.0,0.004154
3669044,7.0,11.0,4.0,0.004154
3720767,2.0,6.0,4.0,0.004154
3829421,0.0,4.0,4.0,0.004154
3916967,0.0,4.0,4.0,0.004154
3962843,1.0,5.0,4.0,0.004154
4062559,1.0,5.0,4.0,0.004154
4135836,2.0,6.0,4.0,0.004154
4148053,5.0,9.0,4.0,0.004154
4284875,3.0,7.0,4.0,0.004154
4331400,2.0,6.0,4.0,0.004154
4519460,1.0,5.0,4.0,0.004154
4537973,0.0,4.0,4.0,0.004154
4974254,1.0,5.0,4.0,0.004154
4993094,6.0,10.0,4.0,0.004154
8409,0.0,3.0,3.0,0.003115
106589,0.0,3.0,3.0,0.003115
120033,0.0,3.0,3.0,0.003115
168997,0.0,3.0,3.0,0.003115
174239,8.0,11.0,3.0,0.003115
244923,0.0,3.0,3.0,0.003115
274067,1.0,4.0,3.0,0.003115
381850,16.0,19.0,3.0,0.003115
552733,0.0,3.0,3.0,0.003115
570735,35.0,38.0,3.0,0.003115
590997,1.0,4.0,3.0,0.003115
625430,0.0,3.0,3.0,0.003115
685988,0.0,3.0,3.0,0.003115
753984,6.0,9.0,3.0,0.003115
772894,5.0,8.0,3.0,0.003115
791327,0.0,3.0,3.0,0.003115
869231,0.0,3.0,3.0,0.003115
970338,1.0,4.0,3.0,0.003115
983613,2.0,5.0,3.0,0.003115
1010656,0.0,3.0,3.0,0.003115
1040356,1.0,4.0,3.0,0.003115
1068933,1.0,4.0,3.0,0.003115
1082035,0.0,3.0,3.0,0.003115
1102540,1.0,4.0,3.0,0.003115
1216617,6.0,9.0,3.0,0.003115
1293225,0.0,3.0,3.0,0.003115
1320782,2.0,5.0,3.0,0.003115
1338377,1.0,4.0,3.0,0.003115
1368970,2.0,5.0,3.0,0.003115
1447685,0.0,3.0,3.0,0.003115
1474371,8.0,11.0,3.0,0.003115
1485156,0.0,3.0,3.0,0.003115
1573465,5.0,8.0,3.0,0.003115
1620537,0.0,3.0,3.0,0.003115
1717476,0.0,3.0,3.0,0.003115
1803510,0.0,3.0,3.0,0.003115
1817004,5.0,8.0,3.0,0.003115
1820842,0.0,3.0,3.0,0.003115
1842993,0.0,3.0,3.0,0.003115
1881274,0.0,3.0,3.0,0.003115
1994940,1.0,4.0,3.0,0.003115
2052526,0.0,3.0,3.0,0.003115
2154867,0.0,3.0,3.0,0.003115
2304296,0.0,3.0,3.0,0.003115
2407396,0.0,3.0,3.0,0.003115
2409937,0.0,3.0,3.0,0.003115
2419332,0.0,3.0,3.0,0.003115
2419959,0.0,3.0,3.0,0.003115
2436637,1.0,4.0,3.0,0.003115
2492895,0.0,3.0,3.0,0.003115
2550060,0.0,3.0,3.0,0.003115
2615163,0.0,3.0,3.0,0.003115
2672392,0.0,3.0,3.0,0.003115
2736436,2.0,5.0,3.0,0.003115
2920476,4.0,7.0,3.0,0.003115
3004853,11.0,14.0,3.0,0.003115
3177877,4.0,7.0,3.0,0.003115
3232473,4.0,7.0,3.0,0.003115
3277224,3.0,6.0,3.0,0.003115
3335147,0.0,3.0,3.0,0.003115
3338209,0.0,3.0,3.0,0.003115
3410245,1.0,4.0,3.0,0.003115
3419760,1.0,4.0,3.0,0.003115
3566034,0.0,3.0,3.0,0.003115
3598912,13.0,16.0,3.0,0.003115
3619575,3.0,6.0,3.0,0.003115
3673501,6.0,9.0,3.0,0.003115
3797203,0.0,3.0,3.0,0.003115
3874527,0.0,3.0,3.0,0.003115
3884119,0.0,3.0,3.0,0.003115
3897386,3.0,6.0,3.0,0.003115
3917972,0.0,3.0,3.0,0.003115
4121590,0.0,3.0,3.0,0.003115
4164234,0.0,3.0,3.0,0.003115
4286569,1.0,4.0,3.0,0.003115
4364882,0.0,3.0,3.0,0.003115
4443922,0.0,3.0,3.0,0.003115
4640311,4.0,7.0,3.0,0.003115
4654786,2.0,5.0,3.0,0.003115
4718907,0.0,3.0,3.0,0.003115
4758477,6.0,9.0,3.0,0.003115
4801426,65.0,68.0,3.0,0.003115
5008221,1.0,4.0,3.0,0.003115
5046132,3.0,6.0,3.0,0.003115
5071267,9.0,12.0,3.0,0.003115
50601,7.0,9.0,2.0,0.002077
58836,1.0,3.0,2.0,0.002077
64179,7.0,9.0,2.0,0.002077
69607,0.0,2.0,2.0,0.002077
114333,0.0,2.0,2.0,0.002077
201867,0.0,2.0,2.0,0.002077
230481,0.0,2.0,2.0,0.002077
284968,2.0,4.0,2.0,0.002077
289692,0.0,2.0,2.0,0.002077
318219,1.0,3.0,2.0,0.002077
366112,8.0,10.0,2.0,0.002077
374584,1.0,3.0,2.0,0.002077
375240,0.0,2.0,2.0,0.002077
401765,1.0,3.0,2.0,0.002077
440901,0.0,2.0,2.0,0.002077
450901,3.0,5.0,2.0,0.002077
466400,0.0,2.0,2.0,0.002077
472273,0.0,2.0,2.0,0.002077
477292,0.0,2.0,2.0,0.002077
481203,0.0,2.0,2.0,0.002077
516198,0.0,2.0,2.0,0.002077
545259,0.0,2.0,2.0,0.002077
583485,1.0,3.0,2.0,0.002077
599382,0.0,2.0,2.0,0.002077
602012,0.0,2.0,2.0,0.002077
677862,0.0,2.0,2.0,0.002077
721664,0.0,2.0,2.0,0.002077
734809,0.0,2.0,2.0,0.002077
747109,0.0,2.0,2.0,0.002077
748392,0.0,2.0,2.0,0.002077
772629,1.0,3.0,2.0,0.002077
781315,1.0,3.0,2.0,0.002077
838946,1.0,3.0,2.0,0.002077
902556,0.0,2.0,2.0,0.002077
924708,1.0,3.0,2.0,0.002077
940822,1.0,3.0,2.0,0.002077
957119,2.0,4.0,2.0,0.002077
996587,0.0,2.0,2.0,0.002077
1013319,0.0,2.0,2.0,0.002077
1089685,0.0,2.0,2.0,0.002077
1104592,0.0,2.0,2.0,0.002077
1176344,0.0,2.0,2.0,0.002077
1189158,1.0,3.0,2.0,0.002077
1207256,0.0,2.0,2.0,0.002077
1249761,3.0,5.0,2.0,0.002077
1254330,0.0,2.0,2.0,0.002077
1273811,0.0,2.0,2.0,0.002077
1277467,0.0,2.0,2.0,0.002077
1281227,0.0,2.0,2.0,0.002077
1354236,0.0,2.0,2.0,0.002077
1411462,0.0,2.0,2.0,0.002077
1418582,1.0,3.0,2.0,0.002077
1443426,0.0,2.0,2.0,0.002077
1461887,1.0,3.0,2.0,0.002077
1467750,0.0,2.0,2.0,0.002077
1480207,0.0,2.0,2.0,0.002077
1485951,1.0,3.0,2.0,0.002077
1487591,0.0,2.0,2.0,0.002077
1526484,0.0,2.0,2.0,0.002077
1573426,6.0,8.0,2.0,0.002077
1587961,1.0,3.0,2.0,0.002077
1595193,7.0,9.0,2.0,0.002077
1631778,1.0,3.0,2.0,0.002077
1665989,0.0,2.0,2.0,0.002077
1689352,0.0,2.0,2.0,0.002077
1712001,0.0,2.0,2.0,0.002077
1723409,0.0,2.0,2.0,0.002077
1737857,1.0,3.0,2.0,0.002077
1781126,1.0,3.0,2.0,0.002077
1868811,0.0,2.0,2.0,0.002077
1873826,0.0,2.0,2.0,0.002077
1980111,1.0,3.0,2.0,0.002077
1985331,0.0,2.0,2.0,0.002077
1993741,0.0,2.0,2.0,0.002077
2004007,0.0,2.0,2.0,0.002077
2026832,1.0,3.0,2.0,0.002077
2085893,3.0,5.0,2.0,0.002077
2092246,0.0,2.0,2.0,0.002077
2096639,13.0,15.0,2.0,0.002077
2111279,0.0,2.0,2.0,0.002077
2131531,5.0,7.0,2.0,0.002077
2139021,0.0,2.0,2.0,0.002077
2158079,2.0,4.0,2.0,0.002077
2201943,0.0,2.0,2.0,0.002077
2210217,0.0,2.0,2.0,0.002077
2218582,1.0,3.0,2.0,0.002077
2247787,1.0,3.0,2.0,0.002077
2290623,1.0,3.0,2.0,0.002077
2297311,0.0,2.0,2.0,0.002077
2303546,3.0,5.0,2.0,0.002077
2328673,0.0,2.0,2.0,0.002077
2360985,0.0,2.0,2.0,0.002077
2366905,2.0,4.0,2.0,0.002077
2399798,0.0,2.0,2.0,0.002077
2455825,0.0,2.0,2.0,0.002077
2479420,0.0,2.0,2.0,0.002077
2512193,0.0,2.0,2.0,0.002077
2513189,0.0,2.0,2.0,0.002077
2528824,0.0,2.0,2.0,0.002077
2533863,2.0,4.0,2.0,0.002077
2547722,0.0,2.0,2.0,0.002077
2579035,0.0,2.0,2.0,0.002077
2582254,0.0,2.0,2.0,0.002077
2595793,0.0,2.0,2.0,0.002077
2596428,1.0,3.0,2.0,0.002077
2611736,0.0,2.0,2.0,0.002077
2693696,4.0,6.0,2.0,0.002077
2721770,0.0,2.0,2.0,0.002077
2739327,0.0,2.0,2.0,0.002077
2772071,0.0,2.0,2.0,0.002077
2778281,7.0,9.0,2.0,0.002077
2791234,0.0,2.0,2.0,0.002077
2792484,0.0,2.0,2.0,0.002077
2812993,1.0,3.0,2.0,0.002077
2815065,1.0,3.0,2.0,0.002077
2858794,10.0,12.0,2.0,0.002077
2875366,1.0,3.0,2.0,0.002077
2877672,4.0,6.0,2.0,0.002077
2881542,0.0,2.0,2.0,0.002077
2945933,9.0,11.0,2.0,0.002077
2983928,0.0,2.0,2.0,0.002077
3001296,0.0,2.0,2.0,0.002077
3010483,0.0,2.0,2.0,0.002077
3083452,1.0,3.0,2.0,0.002077
3090850,0.0,2.0,2.0,0.002077
3100080,0.0,2.0,2.0,0.002077
3102419,3.0,5.0,2.0,0.002077
3123784,0.0,2.0,2.0,0.002077
3130529,0.0,2.0,2.0,0.002077
3141941,0.0,2.0,2.0,0.002077
3188631,1.0,3.0,2.0,0.002077
3194735,0.0,2.0,2.0,0.002077
3206550,0.0,2.0,2.0,0.002077
3209590,0.0,2.0,2.0,0.002077
3222818,0.0,2.0,2.0,0.002077
3231625,16.0,18.0,2.0,0.002077
3253357,0.0,2.0,2.0,0.002077
3298361,0.0,2.0,2.0,0.002077
