hour,buy_1201,buy_1202,buy_delta,contribution
21,258.0,385.0,127.0,0.13188
17,192.0,315.0,123.0,0.127726
16,225.0,330.0,105.0,0.109034
19,236.0,333.0,97.0,0.100727
20,265.0,339.0,74.0,0.076843
23,202.0,272.0,70.0,0.07269
14,274.0,338.0,64.0,0.066459
8,116.0,174.0,58.0,0.060228
12,229.0,282.0,53.0,0.055036
22,289.0,341.0,52.0,0.053998
0,102.0,143.0,41.0,0.042575
11,239.0,266.0,27.0,0.028037
9,191.0,215.0,24.0,0.024922
18,206.0,228.0,22.0,0.022845
13,239.0,260.0,21.0,0.021807
6,34.0,48.0,14.0,0.014538
10,287.0,299.0,12.0,0.012461
7,63.0,74.0,11.0,0.011423
2,23.0,30.0,7.0,0.007269
3,18.0,22.0,4.0,0.004154
4,12.0,15.0,3.0,0.003115
5,25.0,24.0,-1.0,-0.001038
1,64.0,46.0,-18.0,-0.018692
15,328.0,301.0,-27.0,-0.028037
