first_day,day_diff,cohort_size,retained_users,retention_rate
2017-11-25,0,13804,13804,1.0
2017-11-25,1,13804,10926,0.7915
2017-11-25,2,13804,10608,0.7685
2017-11-25,3,13804,10548,0.7641
2017-11-25,4,13804,10548,0.7641
2017-11-25,5,13804,10602,0.768
2017-11-25,6,13804,10595,0.7675
2017-11-25,7,13804,13599,0.9851
2017-11-25,8,13804,13556,0.982
2017-11-26,0,3195,3195,1.0
2017-11-26,1,3195,2054,0.6429
2017-11-26,2,3195,2088,0.6535
2017-11-26,3,3195,2086,0.6529
2017-11-26,4,3195,2167,0.6782
2017-11-26,5,3195,2205,0.6901
2017-11-26,6,3195,3135,0.9812
2017-11-26,7,3195,3115,0.975
2017-11-27,0,1254,1254,1.0
2017-11-27,1,1254,746,0.5949
2017-11-27,2,1254,779,0.6212
2017-11-27,3,1254,775,0.618
2017-11-27,4,1254,828,0.6603
2017-11-27,5,1254,1212,0.9665
2017-11-27,6,1254,1216,0.9697
2017-11-28,0,655,655,1.0
2017-11-28,1,655,425,0.6489
2017-11-28,2,655,420,0.6412
2017-11-28,3,655,423,0.6458
2017-11-28,4,655,636,0.971
2017-11-28,5,655,632,0.9649
2017-11-29,0,357,357,1.0
2017-11-29,1,357,249,0.6975
2017-11-29,2,357,266,0.7451
2017-11-29,3,357,338,0.9468
2017-11-29,4,357,338,0.9468
2017-11-30,0,205,205,1.0
2017-11-30,1,205,200,0.9756
2017-11-30,2,205,193,0.9415
2017-11-30,3,205,196,0.9561
2017-12-01,0,6,6,1.0
2017-12-01,1,6,5,0.8333
2017-12-01,2,6,6,1.0
